,match_id,First Innings,Second Innings,First Innings Score,Second Innings Score,Winner,Batting wins,Bowling wins
448,449,Sunrisers Hyderabad,Rajasthan Royals,136,113.0,Sunrisers Hyderabad,1,0
449,450,Kings XI Punjab,Mumbai Indians,183,133.0,Kings XI Punjab,1,0
450,451,Pune Warriors,Delhi Daredevils,172,134.0,Pune Warriors,1,0
451,452,Royal Challengers Bangalore,Chennai Super Kings,106,82.0,Royal Challengers Bangalore,1,0
452,453,Kolkata Knight Riders,Sunrisers Hyderabad,130,132.0,Sunrisers Hyderabad,0,1
453,454,Chennai Super Kings,Mumbai Indians,192,144.0,Chennai Super Kings,1,0
454,455,Sunrisers Hyderabad,Rajasthan Royals,132,135.0,Rajasthan Royals,0,1
455,456,Rajasthan Royals,Mumbai Indians,165,169.0,Mumbai Indians,0,1
456,457,Mumbai Indians,Chennai Super Kings,148,125.0,Mumbai Indians,1,0
457,458,Kolkata Knight Riders,Mumbai Indians,163,122.0,Kolkata Knight Riders,1,0
458,459,Delhi Daredevils,Royal Challengers Bangalore,145,146.0,Royal Challengers Bangalore,0,1
459,460,Chennai Super Kings,Kings XI Punjab,205,206.0,Kings XI Punjab,0,1
460,461,Sunrisers Hyderabad,Rajasthan Royals,133,135.0,Rajasthan Royals,0,1
461,462,Mumbai Indians,Royal Challengers Bangalore,115,116.0,Royal Challengers Bangalore,0,1
462,463,Kolkata Knight Riders,Delhi Daredevils,166,167.0,Delhi Daredevils,0,1
463,464,Rajasthan Royals,Kings XI Punjab,191,193.0,Kings XI Punjab,0,1
464,465,Chennai Super Kings,Delhi Daredevils,177,84.0,Chennai Super Kings,1,0
465,466,Kings XI Punjab,Sunrisers Hyderabad,193,121.0,Kings XI Punjab,1,0
466,467,Chennai Super Kings,Rajasthan Royals,140,133.0,Chennai Super Kings,1,0
467,468,Kolkata Knight Riders,Royal Challengers Bangalore,150,148.0,Kolkata Knight Riders,1,0
468,469,Sunrisers Hyderabad,Delhi Daredevils,184,180.0,Sunrisers Hyderabad,1,0
469,470,Mumbai Indians,Chennai Super Kings,141,142.0,Chennai Super Kings,0,1
470,471,Royal Challengers Bangalore,Rajasthan Royals,70,71.0,Rajasthan Royals,0,1
471,472,Kings XI Punjab,Kolkata Knight Riders,132,109.0,Kings XI Punjab,1,0
472,473,Mumbai Indians,Delhi Daredevils,125,126.0,Delhi Daredevils,0,1
473,474,Sunrisers Hyderabad,Chennai Super Kings,145,146.0,Chennai Super Kings,0,1
474,475,Royal Challengers Bangalore,Kings XI Punjab,124,127.0,Kings XI Punjab,0,1
475,476,Rajasthan Royals,Kolkata Knight Riders,152,152.0,T,0,0
476,477,Sunrisers Hyderabad,Mumbai Indians,172,157.0,Sunrisers Hyderabad,1,0
477,478,Chennai Super Kings,Kolkata Knight Riders,148,114.0,Chennai Super Kings,1,0
478,479,Kings XI Punjab,Mumbai Indians,168,170.0,Mumbai Indians,0,1
479,480,Delhi Daredevils,Rajasthan Royals,152,156.0,Rajasthan Royals,0,1
480,481,Sunrisers Hyderabad,Royal Challengers Bangalore,155,158.0,Royal Challengers Bangalore,0,1
481,482,Rajasthan Royals,Kolkata Knight Riders,170,160.0,Rajasthan Royals,1,0
482,483,Delhi Daredevils,Chennai Super Kings,178,181.0,Chennai Super Kings,0,1
483,484,Mumbai Indians,Royal Challengers Bangalore,187,168.0,Mumbai Indians,1,0
484,485,Delhi Daredevils,Kolkata Knight Riders,160,161.0,Kolkata Knight Riders,0,1
485,486,Kings XI Punjab,Chennai Super Kings,231,187.0,Kings XI Punjab,1,0
486,487,Sunrisers Hyderabad,Rajasthan Royals,134,102.0,Sunrisers Hyderabad,1,0
487,488,Kings XI Punjab,Royal Challengers Bangalore,198,166.0,Kings XI Punjab,1,0
488,489,Delhi Daredevils,Sunrisers Hyderabad,143,44.0,Delhi Daredevils,1,0
